State,Year,CandidateVotes,TotalVotes,PartyAffiliation
Vermont,2016,466,320467,OTHER
Texas,2018,65470,8371655,LIBERTARIAN
Washington,1976,19373,1491111,LIBERTARIAN
Arizona,1980,12008,874238,LIBERTARIAN
New York,2004,220960,7447818,OTHER
Iowa,1984,422,1292700,OTHER
New York,1994,14892,5328486,OTHER
Illinois,1990,2115377,3251005,DEMOCRAT
West Virginia,2012,240787,660202,REPUBLICAN
North Carolina,1990,1087331,2069585,REPUBLICAN
Georgia,2004,7,3220981,OTHER
Delaware,1990,5,180157,OTHER
Massachusetts,1996,70007,2555942,OTHER
Pennsylvania,1994,1735691,3513361,REPUBLICAN
Ohio,2016,1996908,5374164,DEMOCRAT
North Carolina,2010,55687,2660079,LIBERTARIAN
New York,1986,135836,4484859,OTHER
Florida,2010,47,5411106,OTHER
Virginia,2018,1374313,3351373,REPUBLICAN
Nebraska,2014,15868,540337,OTHER
California,1992,4644182,10799703,REPUBLICAN
Minnesota,1984,1199926,2066143,REPUBLICAN
New Mexico,1996,357171,551821,REPUBLICAN
Illinois,1992,2631229,4939558,DEMOCRAT
Virginia,1990,10153,1083690,OTHER
Illinois,2020,56711,5968901,OTHER
Alaska,2014,10512,282400,LIBERTARIAN
New Mexico,1996,164356,551821,DEMOCRAT
Missouri,1994,1,1775116,OTHER
New Jersey,1994,4226,2054887,OTHER
Alaska,1986,3161,180801,LIBERTARIAN
Colorado,1998,14024,1327235,LIBERTARIAN
California,1998,54699,8311905,OTHER
Delaware,2006,170567,242972,DEMOCRAT
Mississippi,2008,480915,1247026,DEMOCRAT
California,1986,66261,7398462,LIBERTARIAN
Missouri,2018,7,2442289,OTHER
Utah,1988,1233,640702,OTHER
Oklahoma,1978,2209,754264,OTHER
Missouri,1980,985399,2066965,REPUBLICAN
Arkansas,2002,370735,804121,REPUBLICAN
Georgia,2008,43,3752485,OTHER
Arizona,1998,18288,1013280,OTHER
Vermont,2016,103637,320467,REPUBLICAN
Illinois,2008,1520621,5329884,REPUBLICAN
Alabama,2020,3891,2316445,OTHER
Pennsylvania,2018,31208,4994643,OTHER
Alabama,1996,9123,1499393,OTHER
Texas,1994,36107,4279940,LIBERTARIAN
Virginia,1982,212,1415622,OTHER
West Virginia,2012,399898,660202,DEMOCRAT
Georgia,2020,2462617,4952175,REPUBLICAN
Wisconsin,1986,1212,1483174,OTHER
Rhode Island,2002,253774,323582,DEMOCRAT
Maine,2002,295041,504899,REPUBLICAN
Indiana,2016,1158947,2732546,DEMOCRAT
Arkansas,1990,825,494735,OTHER
Nebraska,2006,378388,592316,DEMOCRAT
Hawaii,2012,77,437159,OTHER
Wyoming,1996,89103,211077,DEMOCRAT
New Jersey,1988,12354,2987634,LIBERTARIAN
Wyoming,1978,82908,133364,DEMOCRAT
Georgia,1992,635114,1253991,REPUBLICAN
Idaho,2010,91,449530,OTHER
Florida,2016,52451,9301820,OTHER
Maryland,2016,138,2726170,OTHER
Tennessee,1976,1406,1432046,OTHER
West Virginia,2014,281820,453689,REPUBLICAN
Louisiana,2016,3684,1997218,REPUBLICAN
Kansas,1992,45423,1126447,OTHER
Missouri,2000,4166,2361586,OTHER
North Carolina,1986,753881,1534848,REPUBLICAN
Utah,2006,9089,571252,OTHER
Oregon,2016,2058,1952478,OTHER
Oklahoma,1978,247857,754264,REPUBLICAN
Minnesota,2002,10119,2254636,OTHER
Connecticut,2006,109198,1134777,REPUBLICAN
New Mexico,2006,394365,558550,DEMOCRAT
Oklahoma,1994,392488,982430,DEMOCRAT
Wyoming,2018,61227,203420,DEMOCRAT
New Jersey,1996,50971,2883466,OTHER
New Mexico,2018,107201,697012,LIBERTARIAN
California,2010,5218441,10000160,DEMOCRAT
Vermont,2012,5924,292762,OTHER
Wyoming,2008,269,250007,OTHER
Washington,1992,1197973,2218802,DEMOCRAT
Florida,2010,3647,5411106,OTHER
Florida,2012,126079,8189946,OTHER
Delaware,1990,64554,180157,REPUBLICAN
Minnesota,1978,23261,1580622,OTHER
Maine,1978,27824,375114,OTHER
Ohio,1982,1396790,3395463,REPUBLICAN
Alaska,2014,129431,282400,DEMOCRAT
Massachusetts,1982,1247084,2050769,DEMOCRAT
Oregon,1978,737,892518,OTHER
New Jersey,1984,7135,3096456,LIBERTARIAN
Missouri,2006,1006941,2128459,REPUBLICAN
Georgia,2016,162260,3898605,LIBERTARIAN
Indiana,2012,145282,2560102,LIBERTARIAN
Delaware,1994,111074,199000,REPUBLICAN
Arizona,2016,34,2530730,OTHER
Oklahoma,2014,9913,820733,OTHER
Arkansas,2020,399390,1193261,LIBERTARIAN
Maryland,2004,109,2321931,OTHER
Tennessee,1976,31,1432046,OTHER
Iowa,1992,5508,1292494,OTHER
Minnesota,2006,71194,2202772,OTHER
Arizona,2016,138634,2530730,OTHER
Hawaii,1982,52071,306410,REPUBLICAN
Arizona,2020,37,3355307,OTHER
Connecticut,2018,37894,1386840,OTHER
Indiana,2012,15,2560102,OTHER
Arizona,1998,696577,1013280,REPUBLICAN
Michigan,1990,1055695,2560494,REPUBLICAN
Illinois,2010,16,3704473,OTHER
Utah,1994,357297,519304,REPUBLICAN
Louisiana,2016,7395,1997218,DEMOCRAT
Connecticut,1998,312177,964457,REPUBLICAN
Michigan,1988,2116865,3505985,DEMOCRAT
Nebraska,1982,363350,545647,DEMOCRAT
New Mexico,2002,314193,483056,REPUBLICAN
Louisiana,1990,1,1,DEMOCRAT
Florida,1980,159,3528028,OTHER
Florida,2016,4835191,9301820,REPUBLICAN
South Carolina,1992,554175,1180438,REPUBLICAN
Connecticut,1986,3800,976933,OTHER
Michigan,2006,27012,3780142,LIBERTARIAN
Alabama,1978,34951,582005,OTHER
Alaska,2014,135445,282400,REPUBLICAN
North Dakota,2018,144376,326138,DEMOCRAT
Florida,2006,1826127,4793534,REPUBLICAN
Michigan,1976,8842,3490412,LIBERTARIAN
Colorado,2020,56262,3235790,LIBERTARIAN
Ohio,1994,1836556,3436884,REPUBLICAN
Missouri,2018,12706,2442289,OTHER
Wisconsin,2012,1380126,3009411,REPUBLICAN
Iowa,1996,1844,1224054,OTHER
Massachusetts,2000,308860,2734048,LIBERTARIAN
Tennessee,2012,218,2321477,OTHER
Delaware,2014,98823,234038,REPUBLICAN
Vermont,2004,3999,307208,OTHER
Louisiana,2002,2423,2481629,OTHER
Montana,2006,199845,406505,DEMOCRAT
Louisiana,2016,19352,1997218,OTHER
Utah,1980,151454,594298,DEMOCRAT
Minnesota,1996,1130,2182905,OTHER
Illinois,2002,2103766,3486851,DEMOCRAT
Nebraska,2002,397438,480217,REPUBLICAN
Kansas,2016,379740,1177922,DEMOCRAT
South Dakota,1978,84767,255599,DEMOCRAT
Maryland,2010,6,1833858,OTHER
New York,1980,2618661,6014914,DEMOCRAT
Alaska,1980,596,156762,OTHER
Wisconsin,2018,42,2657841,OTHER
New Jersey,2020,1817052,4440440,REPUBLICAN
New Jersey,1978,2604,1957515,OTHER
New Jersey,1984,1986644,3096456,DEMOCRAT
Minnesota,2008,1212629,2887646,DEMOCRAT
Ohio,1998,1922087,3404351,REPUBLICAN
Iowa,1980,581545,1276986,DEMOCRAT
Massachusetts,1990,1321712,2424579,DEMOCRAT
California,1988,4287253,9743598,DEMOCRAT
Oklahoma,2004,596750,1446846,DEMOCRAT
Nevada,1976,127214,201899,DEMOCRAT
Texas,1990,89089,3822157,LIBERTARIAN
Hawaii,1994,14393,356902,LIBERTARIAN
New York,2018,3755489,6055151,DEMOCRAT
